NAME                                     | CODE       | LONGS (Sample)
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 1054
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 2137
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 1102
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 330
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 0
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 0
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 236
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 0
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 570
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 325
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 443
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 850
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 942
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 625
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 325
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 325
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 0
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 0
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 0
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 0
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 1315
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 1515
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 637
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 1565
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 612
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 3160
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 348
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 3540
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 3630
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 3630
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 4155
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 4140
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 3870
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 4070
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 4865
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 204
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 5290
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 225
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 5180
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 0
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 5230
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 229
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 5455
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 310
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 7075
DOW JONES U.S. REAL ESTATE IDX - CHICAGO | 124606     | 1692
UP DOWN GC ULSD VS HO SPR - NEW YORK MER | 022A13     | 9075
